model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build,ffn_exp_dim,ffn_max_pos_exp,ffn_window_size,attn_segments,attn_segment_0,ffn_segments,ffn_segment_0,attn_degree_center,attn_degrees
openai/whisper-medium,audio,8.052136822537664,torch,True,False,CustomSoftmax,CustomGelu,,,,,,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-4.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-3.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-2.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,8.0,-1.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,46.246434773094,vlp,True,False,VLPSoftmax,CustomGelu,8.0,0.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,19.053782246709744,vlp,True,False,VLPSoftmax,CustomGelu,8.0,1.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,8.123219473681406,vlp,True,False,VLPSoftmax,CustomGelu,8.0,2.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,8.099455806186509,vlp,True,False,VLPSoftmax,CustomGelu,8.0,3.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,8.091550042240375,vlp,True,False,VLPSoftmax,CustomGelu,8.0,4.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-4.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-3.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-2.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,,vlp,True,False,VLPSoftmax,CustomGelu,9.0,-1.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,46.246434773094,vlp,True,False,VLPSoftmax,CustomGelu,9.0,0.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,19.053782246709744,vlp,True,False,VLPSoftmax,CustomGelu,9.0,1.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,8.123219473681406,vlp,True,False,VLPSoftmax,CustomGelu,9.0,2.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,8.099455806186509,vlp,True,False,VLPSoftmax,CustomGelu,9.0,3.0,-4.0,256.0,max,,,,,,,,,
openai/whisper-medium,audio,8.099455806186509,vlp,True,False,VLPSoftmax,CustomGelu,9.0,4.0,-4.0,256.0,max,,,,,,,,,
